Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
int_queries_comb_length_16_select,27247.00,67246.00,2.00,94495.00,27270.00,94495.00,0.00,0.00,61.4114s60.0025s,27270.00,2515.39,2560.89,2642.34,2587.53,121393.83
int_queries_comb_length_4_select,27179.00,67246.00,2.00,94427.00,27202.00,94427.00,0.00,0.00,62.5700s60.0027s,27202.00,2537.44,2609.17,2741.71,2731.03,122552.78
varchar_queries_comb_length_16_select,23047.00,67246.00,2.00,90295.00,23070.00,90295.00,0.00,0.00,62.0335s60.0048s,23070.00,2503.98,2587.21,2818.69,2731.47,122020.41
varchar_queries_comb_length_4_select,24479.00,67246.00,2.00,91727.00,24502.00,91727.00,0.00,0.00,62.0784s60.0034s,24502.00,2507.61,2588.93,2701.97,2682.59,122063.37
