LogFile,CountValue
range_partitioning_select_with_primary_key,0
range_partitioning_select_failing_pruning,74
range_partitioning_select_with_pruning,74
without_partitioning_select_without_range_failing_pruning,78
without_partitioning_select_without_range_primary_key,78
