LogFile,CountValue
query_differences_comb_no_index_select_full_match,0
query_differences_comb_no_index_select_combined_match_with_range,13
query_differences_comb_no_index_select_range_with_like,31
query_differences_comb_no_index_select_exact_with_prefix,51
query_differences_comb_no_index_select_skip_columns,147
query_differences_comb_no_index_select_leftmost_prefix,263
query_differences_comb_no_index_select_column_prefix,551
query_differences_comb_no_index_select_range_values,1343
query_differences_comb_no_index_select_not_leftmost,2371
