LogFile,CountValue
list_partitioning_select_with_pruning_simple,258
without_partitioning_select_without_list_pruning_simple,258
list_partitioning_select_union_multiple_countries,270
list_partitioning_select_in_multiple_countries,1220
list_partitioning_select_or_multiple_countries,1220
without_partitioning_select_without_list_pruning_multiple,1220
