LogFile,CountValue
query_differences_comb_b_tree_index_select_full_match,0
query_differences_comb_hash_index_select_full_match,0
query_differences_comb_hash_index_select_combined_match_with_range,6
query_differences_comb_b_tree_index_select_combined_match_with_range,13
query_differences_comb_hash_index_select_exact_with_prefix,45
query_differences_comb_b_tree_index_select_exact_with_prefix,51
query_differences_comb_hash_index_select_leftmost_prefix,206
query_differences_comb_b_tree_index_select_leftmost_prefix,263
