Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_10_insert,0,161787,675835,837622,62941,837622,22060,0,32.0035s,62941,1.68,4.07,55.78,0.00,255992.83
with_index_10_select,2057901,0,0,2057901,685967,2057901,0,0,32.0018s,685967,0.23,0.37,30.94,0.00,255835.54
with_index_50_insert,0,142028,819172,961200,17757,961200,4330,0,32.0027s,17757,6.90,14.42,102.22,0.00,256002.68
with_index_50_select,1799772,0,0,1799772,599924,1799772,0,0,32.0019s,599924,0.21,0.43,32.48,0.00,255822.33
without_index_10_insert,0,161563,699961,861524,65378,861524,20996,0,32.0019s,65378,1.52,3.92,66.16,0.00,255978.44
without_index_10_select,2099340,0,0,2099340,699780,2099340,0,0,32.0021s,699780,0.22,0.37,30.25,0.00,255833.98
without_index_50_insert,0,146209,858821,1005030,18684,1005030,4232,0,32.0065s,18684,6.92,13.70,102.12,0.00,256031.12
without_index_50_select,1746888,0,0,1746888,582296,1746888,0,0,32.0020s,582296,0.26,0.44,30.06,0.00,255858.97
