Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
not_null_select,22825.00,64015.00,33.00,86873.00,2869.00,86873.00,0.00,0.00,60.8196s60.0202s,2869.00,3436.38,3822.10,4277.07,4225.43,120832.20
with_null_select,22817.00,64015.00,33.00,86865.00,2868.00,86865.00,0.00,0.00,62.1225s60.0104s,2868.00,3712.12,3903.52,4099.78,4076.73,122124.30
