Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
query_differences_select_column_prefix,54096.00,56013.00,29.00,110138.00,54108.00,110138.00,0.00,0.00,60.9315s60.0031s,54108.00,4240.12,4353.15,4483.81,4438.43,120901.00
query_differences_select_combined_match_with_range,222779.00,56013.00,29.00,278821.00,222791.00,278821.00,0.00,0.00,60.9315s60.0025s,222791.00,4239.40,4352.31,4482.27,4437.57,120828.10
query_differences_select_exact_with_prefix,163779.00,56013.00,29.00,219821.00,163791.00,219821.00,0.00,0.00,60.9315s60.0027s,163791.00,4239.49,4352.41,4484.22,4437.66,120851.40
query_differences_select_full_match,252109.00,56013.00,29.00,308151.00,252121.00,308151.00,0.00,0.00,60.9315s60.0027s,252121.00,4239.37,4352.28,4482.28,4437.54,120819.69
query_differences_select_leftmost_prefix,97915.00,56013.00,29.00,153957.00,97927.00,153957.00,0.00,0.00,60.9315s60.0027s,97927.00,4239.70,4352.65,4482.74,4437.91,120883.85
query_differences_select_not_leftmost,19415.00,56013.00,29.00,75457.00,19427.00,75457.00,0.00,0.00,60.9315s60.0051s,19427.00,4241.73,4355.13,4486.27,4440.63,120918.38
query_differences_select_range_values,22736.00,56013.00,29.00,78778.00,22748.00,78778.00,0.00,0.00,60.9315s60.0043s,22748.00,4241.48,4354.68,4485.70,4440.03,120915.98
query_differences_select_range_with_like,188724.00,56013.00,29.00,244766.00,188736.00,244766.00,0.00,0.00,60.9315s60.0026s,188736.00,4239.44,4352.36,4482.33,4437.62,120844.36
query_differences_select_skip_columns,118148.00,56013.00,29.00,174190.00,118160.00,174190.00,0.00,0.00,60.9315s60.0027s,118160.00,4239.62,4352.55,4482.68,4437.81,120875.71
