LogFile,CountValue
query_differences_select_full_match,0
query_differences_select_combined_match_with_range,8
query_differences_select_range_with_like,29
query_differences_select_exact_with_prefix,51
query_differences_select_skip_columns,146
query_differences_select_leftmost_prefix,255
query_differences_select_column_prefix,517
query_differences_select_range_values,1340
query_differences_select_not_leftmost,2371
