Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
with_index_comb_length_400_select,191353.00,47317.00,237.00,238907.00,63902.00,238907.00,0.00,0.00,60.4304s60.0024s,63902.00,441.97,513.04,613.07,560.51,120391.98
with_index_comb_length_4000_select,65293.00,52012.00,27.00,117332.00,21777.00,117332.00,0.00,0.00,63.6053s60.0049s,21777.00,4271.58,4895.27,5246.97,5220.83,123591.69
without_index_comb_length_400_select,152872.00,52129.00,261.00,205262.00,51087.00,205262.00,0.00,0.00,60.2690s60.0029s,51087.00,407.06,464.76,526.90,494.49,120237.37
without_index_comb_length_4000_select,32956.00,56013.00,29.00,88998.00,10999.00,88998.00,0.00,0.00,63.0438s60.0056s,10999.00,3980.13,4508.39,5286.11,5130.38,123036.71
