Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_5000_insert,0,126667,875084,1001751,200,1001751,225,0,32.1127s,200,1241.78,1284.45,1349.67,0.00,256889.42
with_index_5000_select,238134,0,0,238134,79378,238134,0,0,32.0034s,79378,2.20,3.22,35.40,0.00,255967.34
with_index_50000_insert,0,150270,1049937,1200207,24,1200207,45,0,37.6445s,24,12081.88,12547.70,12854.72,0.00,301144.72
with_index_50000_select,26034,0,0,26034,8678,26034,0,0,32.0227s,8678,19.74,29.51,74.74,0.00,256106.89
without_index_5000_insert,0,137603,944841,1082444,216,1082444,361,0,32.6405s,216,1187.59,1208.85,1234.23,0.00,261111.97
without_index_5000_select,119319,0,0,119319,39773,119319,0,0,32.0062s,39773,4.84,6.44,46.76,0.00,256001.77
without_index_50000_insert,0,150254,1049972,1200226,24,1200226,47,0,35.9433s,24,11671.30,11980.51,12208.38,0.00,287532.33
without_index_50000_select,12549,0,0,12549,4183,12549,0,0,32.0539s,4183,45.45,61.27,148.93,0.00,256281.62
