Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
query_differences_comb_no_index_select_column_prefix,28640.00,72017.00,37.00,100694.00,28656.00,100694.00,0.00,0.00,60.9094s60.0030s,28656.00,3311.36,3385.79,3425.02,3389.13,120890.18
query_differences_comb_no_index_select_combined_match_with_range,32979.00,72017.00,37.00,105033.00,32995.00,105033.00,0.00,0.00,60.9094s60.0041s,32995.00,3311.17,3385.52,3424.91,3388.85,120891.83
query_differences_comb_no_index_select_exact_with_prefix,32551.00,72017.00,37.00,104605.00,32567.00,104605.00,0.00,0.00,60.9094s60.0033s,32567.00,3311.21,3385.54,3424.96,3388.85,120890.08
query_differences_comb_no_index_select_full_match,34470.00,72017.00,37.00,106524.00,34486.00,106524.00,0.00,0.00,60.9094s60.0029s,34486.00,3311.10,3385.44,3424.78,3388.75,120886.81
query_differences_comb_no_index_select_leftmost_prefix,31242.00,72017.00,37.00,103296.00,31258.00,103296.00,0.00,0.00,60.9094s60.0028s,31258.00,3311.26,3385.62,3425.05,3388.95,120890.21
query_differences_comb_no_index_select_not_leftmost,18944.00,72017.00,37.00,90998.00,18960.00,90998.00,0.00,0.00,60.9094s60.0047s,18960.00,3312.02,3386.87,3427.32,3390.42,120895.68
query_differences_comb_no_index_select_range_values,22578.00,72017.00,37.00,94632.00,22594.00,94632.00,0.00,0.00,60.9094s60.0035s,22594.00,3311.76,3386.36,3425.81,3389.80,120892.89
query_differences_comb_no_index_select_range_with_like,32486.00,72017.00,37.00,104540.00,32502.00,104540.00,0.00,0.00,60.9094s60.0035s,32502.00,3311.19,3385.55,3424.90,3388.88,120890.19
query_differences_comb_no_index_select_skip_columns,31319.00,72017.00,37.00,103373.00,31335.00,103373.00,0.00,0.00,60.9094s60.0033s,31335.00,3311.25,3385.62,3427.58,3388.95,120890.10
