LogFile,CountValue
query_differences_comb_no_index_select_full_match,0
query_differences_comb_no_index_select_combined_match_with_range,15
query_differences_comb_no_index_select_range_with_like,39
query_differences_comb_no_index_select_exact_with_prefix,63
query_differences_comb_no_index_select_skip_columns,167
query_differences_comb_no_index_select_leftmost_prefix,276
query_differences_comb_no_index_select_column_prefix,526
query_differences_comb_no_index_select_range_values,1339
query_differences_comb_no_index_select_not_leftmost,2412
