LogFile,CountValue
query_differences_comb_no_index_select_full_match,0
query_differences_comb_no_index_select_combined_match_with_range,4
query_differences_comb_no_index_select_exact_with_prefix,41
query_differences_comb_no_index_select_leftmost_prefix,201
