LogFile,CountValue
query_differences_comb_b_tree_index_select_full_match,0
query_differences_comb_hash_index_select_full_match,0
query_differences_comb_b_tree_index_select_combined_match_with_range,8
query_differences_comb_hash_index_select_combined_match_with_range,14
query_differences_comb_b_tree_index_select_exact_with_prefix,42
query_differences_comb_hash_index_select_exact_with_prefix,46
query_differences_comb_hash_index_select_leftmost_prefix,211
query_differences_comb_b_tree_index_select_leftmost_prefix,263
