Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
list_partitioning_select_or_multiple_countries,60.00,1.00,225.20,1292.61,225.00,1067.21,0.40,6964.82,0.00,0.00
list_partitioning_select_union_multiple_countries,60.00,1.00,89.40,1156.81,89.20,1067.21,0.40,6971.62,0.00,0.00
list_partitioning_select_with_pruning_simple,60.00,1.00,478.81,1546.22,478.61,1067.21,0.40,6962.31,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,5.00,1.00,197.77,1378.12,198.17,1179.15,0.80,5.28,0.00,0.00
without_partitioning_select_without_list_pruning_simple,5.00,1.00,266.55,1446.90,266.95,1179.15,0.80,3.82,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,10.00,1.00,197.41,1376.93,197.21,1179.32,0.40,6366.19,0.00,0.00
without_partitioning_select_without_list_pruning_simple,10.00,1.00,267.22,1446.74,267.02,1179.32,0.40,6364.73,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,15.00,1.00,198.80,1377.59,198.60,1178.59,0.40,6366.09,0.00,0.00
without_partitioning_select_without_list_pruning_simple,15.00,1.00,267.00,1445.79,266.80,1178.59,0.40,6364.73,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,20.00,1.00,198.60,1340.59,198.40,1141.79,0.40,6481.66,0.00,0.00
without_partitioning_select_without_list_pruning_simple,20.00,1.00,266.61,1408.60,266.41,1141.79,0.40,6480.30,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,25.00,1.00,199.20,1343.81,199.20,1144.61,0.00,5.18,0.00,0.00
without_partitioning_select_without_list_pruning_simple,25.00,1.00,266.60,1411.21,266.60,1144.61,0.00,3.82,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,30.00,1.00,198.60,1271.42,198.40,1072.62,0.40,6719.25,0.00,0.00
without_partitioning_select_without_list_pruning_simple,30.00,1.00,266.40,1339.22,266.20,1072.62,0.40,6717.79,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,35.00,1.00,198.20,1324.98,198.00,1126.58,0.40,6841.24,0.00,0.00
without_partitioning_select_without_list_pruning_simple,35.00,1.00,266.60,1393.38,266.40,1126.58,0.40,6839.78,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,40.00,1.00,196.60,1258.61,196.40,1061.81,0.40,6965.54,0.00,0.00
without_partitioning_select_without_list_pruning_simple,40.00,1.00,265.40,1327.41,265.20,1061.81,0.40,6963.99,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,45.00,1.00,199.00,1301.20,199.00,1102.20,0.00,5.18,0.00,0.00
without_partitioning_select_without_list_pruning_simple,45.00,1.00,266.40,1368.60,266.40,1102.20,0.00,3.82,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,50.00,1.00,198.80,1310.01,198.60,1111.01,0.40,6841.14,0.00,0.00
without_partitioning_select_without_list_pruning_simple,50.00,1.00,266.00,1377.21,265.80,1111.01,0.40,6839.78,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,55.00,1.00,199.00,1313.00,198.80,1113.80,0.40,6719.15,0.00,0.00
without_partitioning_select_without_list_pruning_simple,55.00,1.00,267.00,1381.00,266.80,1113.80,0.40,6717.79,0.00,0.00
without_partitioning_select_without_list_pruning_multiple,60.00,1.00,199.20,1327.00,199.00,1127.60,0.40,6719.15,0.00,0.00
without_partitioning_select_without_list_pruning_simple,60.00,1.00,266.80,1394.60,266.60,1127.60,0.40,6717.79,0.00,0.00
