LogFile,CountValue
without_partitioning_select_without_list_pruning_simple,228
list_partitioning_select_with_pruning_simple,254
list_partitioning_select_union_multiple_countries,264
without_partitioning_select_without_list_pruning_multiple,1214
list_partitioning_select_in_multiple_countries,1284
list_partitioning_select_or_multiple_countries,1284
