Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
1,1,1228.86,24583.18,17209.02,4915.44,2458.72,0.00,0.00,0.00
2,1,1329.97,26599.47,18619.63,5319.89,2659.95,0.00,0.00,0.00
3,1,1320.18,26399.54,18478.48,5280.71,2640.35,0.00,0.00,0.00
4,1,1331.75,26638.02,18647.51,5327.00,2663.50,0.00,0.00,0.00
5,1,1332.22,26658.35,18661.04,5332.87,2664.43,0.00,0.00,0.00
6,1,1332.46,26636.11,18645.37,5325.82,2664.91,0.00,0.00,0.00
7,1,1336.72,26731.35,18711.05,5346.87,2673.44,0.00,0.00,0.00
8,1,1341.29,26829.75,18782.03,5365.15,2682.58,0.00,0.00,0.00
9,1,1334.70,26688.93,18680.75,5338.79,2669.39,0.00,0.00,0.00
